Designator,Mid X,Mid Y,Rotation,Layer
C1,145.010246,-64.183897,270.0,top
C10,136.585246,-51.523897,0.0,top
C2,137.990246,-59.083897,180.0,top
C3,147.680246,-49.963897,180.0,top
C4,132.650246,-67.783897,90.0,top
C5,146.985246,-60.673897,180.0,top
C6,147.680246,-53.203897,180.0,top
C7,147.680246,-51.583897,180.0,top
C8,136.640246,-49.773897,180.0,top
C9,138.500246,-67.483897,270.0,top
D1,141.530246,-62.983897,270.0,top
D2,147.920246,-64.903897,270.0,top
F1,140.450246,-67.513897,90.0,top
J1,142.930246,-74.258897,0.0,top
J2,130.880246,-52.763897,0.0,top
J4,141.940246,-41.023897,270.0,top
J5,152.780246,-52.693897,0.0,top
LED1,138.770246,-57.163897,270.0,top
LED2,136.950246,-47.684497,270.0,top
R1,145.080246,-57.988897,90.0,top
R2,141.770246,-67.363897,90.0,top
R3,145.160246,-68.083897,180.0,top
R4,137.570246,-56.053897,90.0,top
R5,138.770246,-61.033897,180.0,top
R6,135.620246,-47.738897,270.0,top
R7,148.910246,-56.833897,180.0,top
R8,148.940246,-59.023897,0.0,top
SW1,135.470246,-66.043897,90.0,top
U1,141.630246,-58.013897,0.0,top
U2,142.280246,-51.703897,0.0,top
