Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0402",118.800000,-102.000000,0.000000,top
"C2","100nF","C_0402",137.800000,-102.000000,0.000000,top
"C3","100nF","C_0402",156.800000,-102.000000,0.000000,top
"C4","100nF","C_0402",175.800000,-102.000000,0.000000,top
"C5","100nF","C_0402",194.800000,-102.000000,0.000000,top
"C6","100nF","C_0402",213.800000,-102.000000,0.000000,top
"C7","100nF","C_0402",223.300000,-102.000000,0.000000,top
"C8","100nF","C_0402",118.800000,-108.000000,0.000000,top
"C9","100nF","C_0402",137.800000,-108.000000,0.000000,top
"C10","100nF","C_0402",156.800000,-108.000000,0.000000,top
"C11","100nF","C_0402",175.800000,-108.000000,0.000000,top
"C12","100nF","C_0402",194.800000,-108.000000,0.000000,top
"C13","100nF","C_0402",213.800000,-108.000000,0.000000,top
"C14","100nF","C_0402",223.300000,-108.000000,0.000000,top
"C15","100nF","C_0402",118.800000,-114.000000,0.000000,top
"C16","100nF","C_0402",137.800000,-114.000000,0.000000,top
"C17","100nF","C_0402",156.800000,-114.000000,0.000000,top
"C18","100nF","C_0402",175.800000,-114.000000,0.000000,top
"C19","100nF","C_0402",194.800000,-114.000000,0.000000,top
"C20","100nF","C_0402",213.800000,-114.000000,0.000000,top
"C21","100nF","C_0402",223.300000,-114.000000,0.000000,top
"C22","100nF","C_0402",118.800000,-120.000000,0.000000,top
"C23","100nF","C_0402",137.800000,-120.000000,0.000000,top
"C24","100nF","C_0402",156.800000,-120.000000,0.000000,top
"C25","100nF","C_0402",175.800000,-120.000000,0.000000,top
"C26","100nF","C_0402",194.800000,-120.000000,0.000000,top
"C27","100nF","C_0402",213.800000,-120.000000,0.000000,top
"C28","100nF","C_0402",223.300000,-120.000000,0.000000,top
"C29","100nF","C_0402",118.800000,-126.000000,0.000000,top
"C30","100nF","C_0402",137.800000,-126.000000,0.000000,top
"C31","100nF","C_0402",156.800000,-126.000000,0.000000,top
"C32","100nF","C_0402",175.800000,-126.000000,0.000000,top
"C33","100nF","C_0402",194.800000,-126.000000,0.000000,top
"C34","100nF","C_0402",213.800000,-126.000000,0.000000,top
"C35","100nF","C_0402",223.300000,-126.000000,0.000000,top
"C36","100nF","C_0402",118.800000,-132.000000,0.000000,top
"C37","100nF","C_0402",137.800000,-132.000000,0.000000,top
"C38","100nF","C_0402",156.800000,-132.000000,0.000000,top
"C39","100nF","C_0402",175.800000,-132.000000,0.000000,top
"C40","100nF","C_0402",194.800000,-132.000000,0.000000,top
"C41","100nF","C_0402",213.800000,-132.000000,0.000000,top
"C42","100nF","C_0402",223.300000,-132.000000,0.000000,top
"C43","100nF","C_0402",118.800000,-138.000000,0.000000,top
"C44","100nF","C_0402",137.800000,-138.000000,0.000000,top
"C45","100nF","C_0402",156.800000,-138.000000,0.000000,top
"C46","100nF","C_0402",175.800000,-138.000000,0.000000,top
"C47","100nF","C_0402",194.800000,-138.000000,0.000000,top
"C48","100nF","C_0402",213.800000,-138.000000,0.000000,top
"C49","100nF","C_0402",223.300000,-138.000000,0.000000,top
"C50","100nF","C_0402",108.700000,-108.620000,90.000000,top
"D1","XL-5050RGBC-WS2812B","XL-5050RGBC-WS2812B",114.050000,-103.650000,180.000000,top
"D2","XL-5050RGBC-WS2812B","XL-5050RGBC-WS2812B",123.550000,-103.650000,180.000000,top
"D3","XL-5050RGBC-WS2812B","XL-5050RGBC-WS2812B",133.050000,-103.650000,180.000000,top
"D4","XL-5050RGBC-WS2812B","XL-5050RGBC-WS2812B",142.550000,-103.650000,180.000000,top
"D5","XL-5050RGBC-WS2812B","XL-5050RGBC-WS2812B",152.050000,-103.650000,180.000000,top
"D6","XL-5050RGBC-WS2812B","XL-5050RGBC-WS2812B",161.550000,-103.650000,180.000000,top
"D7","XL-5050RGBC-WS2812B","XL-5050RGBC-WS2812B",171.050000,-103.650000,180.000000,top
"D8","XL-5050RGBC-WS2812B","XL-5050RGBC-WS2812B",180.550000,-103.650000,180.000000,top
"D9","XL-5050RGBC-WS2812B","XL-5050RGBC-WS2812B",190.050000,-103.650000,180.000000,top
"D10","XL-5050RGBC-WS2812B","XL-5050RGBC-WS2812B",199.550000,-103.650000,180.000000,top
"D11","XL-5050RGBC-WS2812B","XL-5050RGBC-WS2812B",209.050000,-103.650000,180.000000,top
"D12","XL-5050RGBC-WS2812B","XL-5050RGBC-WS2812B",218.550000,-103.650000,180.000000,top
"D13","XL-5050RGBC-WS2812B","XL-5050RGBC-WS2812B",228.050000,-103.650000,180.000000,top
"D14","XL-5050RGBC-WS2812B","XL-5050RGBC-WS2812B",114.050000,-109.650000,180.000000,top
"D15","XL-5050RGBC-WS2812B","XL-5050RGBC-WS2812B",123.550000,-109.650000,180.000000,top
"D16","XL-5050RGBC-WS2812B","XL-5050RGBC-WS2812B",133.050000,-109.650000,180.000000,top
"D17","XL-5050RGBC-WS2812B","XL-5050RGBC-WS2812B",142.550000,-109.650000,180.000000,top
"D18","XL-5050RGBC-WS2812B","XL-5050RGBC-WS2812B",152.050000,-109.650000,180.000000,top
"D19","XL-5050RGBC-WS2812B","XL-5050RGBC-WS2812B",161.550000,-109.650000,180.000000,top
"D20","XL-5050RGBC-WS2812B","XL-5050RGBC-WS2812B",171.050000,-109.650000,180.000000,top
"D21","XL-5050RGBC-WS2812B","XL-5050RGBC-WS2812B",180.550000,-109.650000,180.000000,top
"D22","XL-5050RGBC-WS2812B","XL-5050RGBC-WS2812B",190.050000,-109.650000,180.000000,top
